"Date","Post Type","Content","Video Thumbnail","Image","Like","Retweet","Reply"
"2023-04-03T15:20:40.000Z","text","모든 날 중 가장 완전히 잃어버린 날은 웃지 않는 날이다.","","","1","2",""
"2023-04-03T14:50:40.000Z","text","산다는 것은 어느 꿈을 그리워하는 고독이다.","","","2","5",""
"2023-04-03T14:20:49.000Z","text","이아페토스=오케아노스와 테티스 사이의 딸 클뤼메네와 결혼","","","","",""
"2023-04-03T13:50:47.000Z","text","로댕의 생각하는 사람은 세번이나 거절당했던 작품이다.","","","","",""
"2023-04-03T13:20:46.000Z","text","차원의 수호자 움르 아트-타월(Umr At-Tawill)","","","","",""
"2023-04-03T12:50:40.000Z","text","꾸밈이 없는 사람일수록 호감을 산다.","","","","",""
"2023-04-03T12:20:47.000Z","text","거짓말은 불행을 몰고 오는 여신의 기수이다.","","","","",""
"2023-04-03T11:50:39.000Z","text","당신이 깨어, 실천하기 까지는 그 어떤 꿈도 이루어지지 않는다.","","","1","",""
"2023-04-03T10:50:38.000Z","text","가장 훌륭한 기술, 가장 배우기 어려운 기술은 세상을 살아가는 기술이다.","","","","",""
"2023-04-03T09:50:37.000Z","text","잠들어 꾼 꿈으로 걱정하는 사람은 잠이 깨어서도 꿈꾸고 있는 것과 같다.","","","1","",""
"2023-04-03T09:20:45.000Z","text","닉스=태고에 있었던 카오스때 한 부분을 차지했던 여신","","","","",""
"2023-04-03T08:50:40.000Z","text","괴로움은 인간의 위대한 교사이다.","","","","",""
"2023-04-03T08:20:48.000Z","text","로랜시아의 아름다운 여인을 사랑한 오크.","","","","",""
"2023-04-03T07:50:37.000Z","text","싸우지 않는 사람은 정복하지 못한다.","","","","",""
"2023-04-03T07:20:47.000Z","text","방해가 크면 클수록 욕망은 더 커진다.","","","","",""
"2023-04-03T06:20:45.000Z","text","덕이란 청결이다.","","","","",""
"2023-04-03T05:50:39.000Z","text","굳은 인내와 노력을 하지 않는 천재는 이 세상에서 있었던 적이 없다.","","","","",""
"2023-04-03T05:20:47.000Z","text","어둠의 신도 나스(Nas)","","","","",""
"2023-04-03T04:20:49.000Z","text","어린이는 부모의 행동이 거울이다.","","","","",""
"2023-04-03T03:50:37.000Z","text","일의 기량을 닦기 위해서 가장 중요한 것은 실행과 경험이다.","","","","",""
"2023-04-03T03:20:46.000Z","text","최초의 발굴 마스터 "카달"","","","","",""
"2023-04-03T02:50:40.000Z","text","인간은 기회를 발견하려고 노력하는 동시에, 스스로 그것을 만들어내기도 해야 한다.","","","","",""
"2023-04-03T02:20:48.000Z","text","재능이 한가지 많은 것이 재능이 한가지 적은 것보다 오히려 더 위험하다.","","","","",""
"2023-04-03T01:20:48.000Z","text","십인십색","","","","",""
"2023-04-03T00:50:39.000Z","text","과거는 잊어버리고 다른 일에 몰두하자. 이것이 고민의 해결책이다.","","","","",""
"2023-04-03T00:20:45.000Z","text","빛의 여신 엘(El)","","","","",""
"2023-04-02T23:50:38.000Z","text","기억해 내는 힘이 아닌 잊는 힘이야말로 우리들이 살아가는데 더 필요한 것이다.","","","1","",""
"2023-04-02T23:20:48.000Z","text","그들은 한 모자를 쓴 두 머리다.","","","","",""
"2023-04-02T22:50:35.000Z","text","내 코가 석자","","","","",""
"2023-04-02T22:20:44.000Z","text","테티스=오케아노스의 부인, 그리스어로 해양의 여성적인 힘을 신격","","","","",""
"2023-04-02T21:50:34.000Z","text","인간은 자신의 단점을 극복할수록 그만큼 교만해진다.","","","1","1",""
"2023-04-02T21:20:39.000Z","text","네크로멘서는 인간이 아닌것 같아..","","","","",""
"2023-04-02T20:50:38.000Z","text","모든 죄악의 기본은 조바심과 게으름이다.","","","","",""
"2023-04-02T20:20:41.000Z","text","자기 신뢰가 성공의 제 1의 비결이다.","","","","",""
"2023-04-02T19:50:35.000Z","text","두려움 없는 마음은 가장 빠르게 정상에 도달한다.","","","2","1",""
"2023-04-02T19:20:41.000Z","text","창조주 하스터(Hastur)","","","","",""
"2023-04-02T18:50:35.000Z","text","성공은 사람의 나쁜 성격을 이끌어 내고, 실패는 좋은 성격을 길러준다.","","","2","2",""
"2023-04-02T18:20:41.000Z","text","분노하여 가하는 일격은 종국에 우리는 자신을 때린다.","","","","",""
"2023-04-02T17:50:36.000Z","text","나는 일랜시아의 시민이다.","","","","",""
"2023-04-02T17:20:39.000Z","text","릴리스=아름다운 여인의 모습으로 밤의 정령으로도 알려져있습니다.","","","","",""
